recipe_id,rank_strict_06g,strict_score_06g,yield_score_06g,strict_score_06h,yield_score_06h,p_robust_valid_06h,mean_cd_fixed_06h,std_cd_fixed_06h,mean_ler_locked_06h,std_ler_locked_06h,mean_p_line_margin_06h,rank_strict_06h
G_4034,71,0.5724352503592068,0.9135333333333336,0.7335847669047271,0.9463249999999992,0.9735833333333326,15.048502859918388,0.25235807279645495,2.54202360053301,0.018487457591782993,0.19544627398829736,7
G_499,72,0.568611194275108,0.8847916666666669,-0.9810958941813657,0.9550978525141366,0.9906833333333345,16.024802147485865,0.4247586321532243,2.50964157483924,0.019360749773367807,0.19139822126454045,93
G_2628,73,0.566483050773516,0.7984500000000002,0.43685352542700634,0.9011000000000001,0.9619500000000002,15.424040173855634,0.49941851782985713,2.5144083853288794,0.021252272668280718,0.18319271836401477,66
G_3085,74,0.5646169247495658,0.8827416666666666,0.5635226357632501,0.9219083333333341,0.9610166666666674,14.80917750358354,0.39848536966550974,2.53661383404326,0.018652077478827297,0.19770284333935734,45
G_1312,75,0.561687825578485,0.8589333333333333,0.5124735522647247,0.9460000000000007,0.9805000000000007,14.852633725132085,0.45918250968507857,2.533917213823738,0.02796683890793708,0.15855792561508436,58
G_1577,76,0.5603341477805407,0.892800000000001,0.5679974728021875,0.9360249999999993,0.9784166666666659,14.52780611200506,0.402166743082519,2.5374401197565466,0.01847525482695749,0.17350737319274387,42
G_4991,77,0.5588752467687826,0.9077666666666667,0.6073913669864136,0.9529416666666671,0.976416666666667,14.78696244291592,0.38287698950279775,2.5226763966873436,0.01933344073400666,0.18797364075819034,29
G_2602,78,0.5581549550144187,0.8415833333333331,0.5768831492943094,0.9172500000000005,0.9617166666666673,15.311491040402025,0.3599549246272246,2.549571835821138,0.0428993470432251,0.16415098977258402,40
G_3879,79,0.5571842209689661,0.8416750000000012,0.5337676394216827,0.9624666666666678,0.9824833333333344,15.501587942145997,0.4632157977488008,2.540453061520705,0.0191636120002368,0.19544961176770542,52
G_2234,80,0.5510286267337304,0.9006500000000002,0.5842506566852272,0.9669000000000012,0.9828666666666678,15.504424671993107,0.4119490023328804,2.525518689347555,0.017903744255768055,0.20610218850124254,37
G_2891,81,0.5483637546037756,0.7947333333333336,0.46377600024653365,0.828608333333333,0.9243999999999997,14.781888940698316,0.40059921204174836,2.5222852306349757,0.01955067804421221,0.1821688719082205,61
G_1916,82,0.5479766923196931,0.9620500000000003,0.5028348245466392,0.9831416666666676,0.9921666666666675,14.951151912327651,0.5178769576785175,2.5372383420967664,0.0196522202780766,0.1895849027901093,59
G_525,83,0.5469088630238024,0.9380583333333341,0.601663914017246,0.954550000000001,0.9791166666666676,15.071117919672124,0.39072119338236255,2.5330297225033416,0.018935653486674007,0.18921173657177826,33
G_1737,84,0.546223542601497,0.9366666666666662,-0.49672160813852967,0.9996083333333334,0.9998666666666668,15.868980210434238,0.42829672967782706,2.523775550300546,0.019211685345390486,0.19405304872548892,86
G_2193,85,0.5449995736793353,0.8667583333333339,-0.5313834854992852,0.908225,0.9620999999999998,15.8488044092604,0.41826589745809456,2.5406024144230313,0.03789716376377332,0.17607688648757516,87
G_3328,86,0.5433771897690938,0.763333333333334,0.18848453044304875,0.8733166666666673,0.9473500000000007,15.495288787112722,0.7220928153937899,2.5218452152707833,0.0174170528612323,0.18387682240314995,72
G_3904,87,0.5429687620929716,0.9851916666666689,0.3974716271605131,0.9985916666666671,0.9994666666666671,15.56075748794795,0.4566879261493494,2.532796041168362,0.019528473101704292,0.1904183481515819,68
G_4603,88,0.5429351790042398,0.8280166666666667,0.5683938148305695,0.8765833333333328,0.9358499999999994,15.083112418455064,0.3453893661679314,2.5277153280472096,0.016672780580075673,0.182144951820824,41
G_1445,89,0.5415900837521523,0.8923666666666673,0.5464331741293653,0.9102999999999997,0.9590666666666663,15.09728019625986,0.39201455071382224,2.5368442124971096,0.02451443229700485,0.16161976396676103,49
G_2807,90,0.5389094517992212,0.8550083333333338,-0.05683946340963439,0.9513166666666673,0.9817500000000006,15.700166844571902,0.4461650735561991,2.5311099287266994,0.017438383595004183,0.18891467597241735,79
G_1768,91,0.5355829410745417,0.9263166666666671,0.28915201355080844,0.9866916666666682,0.9933500000000015,15.56244837575397,0.5451317937314598,2.5278182135177905,0.019160308938073,0.1780696893861863,71
G_3384,92,0.5344763961831476,0.9152083333333326,0.5809227044095449,0.9817000000000026,0.9938666666666692,14.531313521614397,0.4336150087130294,2.536811679035297,0.017102983222144045,0.16555681893457497,38
G_1474,93,0.5327471112943397,0.860325,-0.9776270267529886,0.8966000000000001,0.9506833333333333,15.987799316070308,0.45099280656202906,2.5252498212122663,0.019216339505755534,0.1990875910913742,92
G_3552,94,0.5312426687574944,0.850491666666667,0.46148352545285803,0.9294583333333333,0.9713166666666665,15.527716655302765,0.4087707332213368,2.544280501592159,0.03546009776741313,0.16670376053144992,62
G_2465,95,0.5264065839459907,0.958766666666666,-0.4588433979920336,0.9981250000000006,0.9993166666666673,15.867418238380848,0.3983112471060458,2.5431464969095163,0.019488676724191085,0.2133676104746069,83
G_4176,96,0.5235712941563974,0.9272250000000003,0.49519634492107284,0.9697250000000014,0.9833166666666681,14.546033924632944,0.5034896857667914,2.5365024633776954,0.0202550464153561,0.15635421558216372,60
G_4541,97,0.5204783180960708,0.8629250000000004,0.697369790434241,0.9180833333333339,0.9649000000000005,14.814894353693402,0.25831833506197427,2.539392114055351,0.016505447930489272,0.18343006451250418,13
G_2593,98,0.5190884803390943,0.9262916666666666,0.3770915638677374,0.9782166666666675,0.9903833333333342,15.195949664777205,0.6418129810107114,2.5245581670688146,0.019670907260031283,0.20209332736718774,69
G_2704,99,0.5185883023561756,0.9891000000000019,0.715954380522413,1.0,1.0,15.102694725546614,0.32881770214516326,2.5449986408295917,0.016779555295840447,0.21264744126198606,8
G_4447,100,0.5185128315593668,0.9988583333333336,0.6454759583547436,0.9998500000000001,0.9999000000000001,14.775802560574943,0.3922793623624392,2.5418560502110266,0.015833321745070315,0.18328792635887148,21
