thickness_nm,amplitude,absorption_length_nm,DH_nm2_s,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,sidewall_x_displacement_std_nm,psd_mid_band_locked,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,bounds_ok
20.0,0.2,30.0,0.5,65.2023855811969,20.2729198251076,20.70717662504989,68.24168864302806,0.1866503486670795,2.397504526968015,1.566184350601997,0.49687499999999996,12.32246882910834,ok,0.018614276929035344,0.17384992501263957,0.7342464637592998,True
20.0,0.2,30.0,0.8,65.2023855811969,20.2729198251076,19.66658836599809,69.8376245122087,0.17900733191799995,2.661314709808727,1.8174832722411303,0.48906249999999996,12.533482661910526,ok,0.02476350878606618,0.2387007451765158,0.7005296716937308,True
20.0,0.2,60.0,0.3,43.187045226666825,22.072789649962104,10.301277727585049,76.14729677958083,0.0894545028603148,1.0595077890503897,0.37161014792867997,0.54375,12.582553844928405,ok,0.016146574721183887,0.14611945164066156,0.7689071200228053,True
20.0,0.2,60.0,0.5,43.187045226666825,22.072789649962104,9.542386488614438,77.90451641567209,0.08723344177217186,1.1687191647278836,0.39310478312902625,0.54375,12.421973417889195,ok,0.0235335656422197,0.21656983449030517,0.7450751693860032,True
20.0,0.2,60.0,0.8,43.187045226666825,22.072789649962104,8.95969592224419,79.2537417755271,0.08408115370215627,1.3319320732543791,0.4675030879477184,0.54375,12.276157066649922,ok,0.03065224116148237,0.28961320517101913,0.7145778166496204,True
20.0,0.2,100.0,0.3,35.00095196735609,22.714824174069292,6.512071294068003,81.3945880668002,0.05313585757166761,0.6663424120496747,0.18077817489135722,0.5609375,12.643489309979616,ok,0.01783873062224447,0.16041058252938062,0.7720956510720165,True
20.0,0.2,100.0,0.5,35.00095196735609,22.714824174069292,5.8789145130956415,83.20355823870547,0.05175208912235574,0.7114268168295147,0.16454384813064807,0.559375,12.534089367144029,ok,0.025781878590256286,0.2355406853239584,0.7493514425631217,True
20.0,0.2,100.0,0.8,35.00095196735609,22.714824174069292,5.410592443945684,84.54158490034237,0.04989271872804485,0.7993268974933604,0.17804765270877967,0.559375,12.4064977516752,ok,0.03330179128563906,0.31161195010467707,0.7201403536374211,True
30.0,0.0,15.0,0.3,151.57787257161118,0.0,96.81823802753253,36.12640395002781,0.6491956358523767,5.340369016850895,6.7107551693815,0.38749999999999996,12.283277948157389,ok,0.0038964605340055477,0.036550452849045977,0.7393964905502288,True
30.0,0.0,15.0,0.5,151.57787257161118,0.0,94.87564272467196,37.4079863273915,0.6397139567031883,5.467713919950166,7.664703796225,0.38749999999999996,12.618012361682036,ok,0.006027861300258536,0.059439088994842106,0.7096624467796047,True
30.0,0.0,15.0,0.8,151.57787257161118,0.0,92.42158225666549,39.02699603268148,0.6279044373999293,5.911252328152874,10.441093178323557,0.41093750000000007,12.349178777661459,ok,0.00841203086330167,0.08745294225252646,0.6711162729809814,True
30.0,0.0,30.0,0.3,70.5146017457478,0.0,38.52195933691505,45.37023767671209,0.32523591867401186,3.4116571057573575,5.86463562756815,0.440625,12.55863654683786,ok,0.009226766088154745,0.08561110410737309,0.7564531865142133,True
30.0,0.0,30.0,0.5,70.5146017457478,0.0,38.165510417854065,45.87573428342373,0.3223036254047728,3.8748931851509454,7.277907458938162,0.43437499999999996,12.695578334121802,ok,0.01374038810145296,0.13242389950939001,0.7321538052016816,True
30.0,0.0,30.0,0.8,70.5146017457478,0.0,37.70348996761593,46.5309467341783,0.31862566184053065,4.823648745655652,11.061539896970164,0.4390625,12.479403391294179,ok,0.01831441941987324,0.18449700593545554,0.6998065512125261,True
30.0,0.0,60.0,0.3,32.74830304399353,0.0,15.811776376595672,51.717264997351485,0.1469321675196607,1.6327276898434397,1.277787585938109,0.5265624999999999,12.413568770824629,ok,0.014034784820234287,0.12800912927835004,0.7647908379148541,True
30.0,0.0,60.0,0.5,32.74830304399353,0.0,15.82136424409984,51.68798754901688,0.14695512032187288,1.8073563176595377,1.5050213211080712,0.5125,12.693042813538305,ok,0.020483832291862843,0.19176141692391116,0.7432050263773017,True
30.0,0.0,60.0,0.8,32.74830304399353,0.0,15.817611873222443,51.69944576372912,0.1468626130211426,2.179666205621298,2.097863551768559,0.5125,12.63807840802647,ok,0.026716498891497104,0.25874714651408154,0.7140563955496003,True
30.0,0.0,100.0,0.3,18.8643447724708,0.0,8.614636833003681,54.33376066379348,0.08267854425595265,0.9685132319561525,0.44347400352206046,0.5609375,12.31134491761835,ok,0.01651574646746058,0.1492923561240025,0.768078691640349,True
30.0,0.0,100.0,0.5,18.8643447724708,0.0,8.660917040056809,54.08842902036069,0.0830917466772023,1.0631381477902329,0.5145803783353473,0.54375,12.646610346688242,ok,0.02388751004627579,0.2203624273489104,0.7475659627441343,True
30.0,0.0,100.0,0.8,18.8643447724708,0.0,8.707949401301057,53.83911020324024,0.08351129887269412,1.280472208243476,0.7160790080435002,0.54375,12.557980917825814,ok,0.030876757919788597,0.2931809660533578,0.7196964622878571,True
30.0,0.05,15.0,0.3,158.58049811548983,7.002625543878651,97.10641329002081,38.76522369143974,0.6497905165860831,5.303275037567966,6.643956348927548,0.38749999999999996,12.289476873937755,ok,0.003910266172221204,0.03669176780764275,0.7410283938219107,True
