sweep,x_var,y_var,x_val,y_val,CD_final_nm,CD_locked_nm,LER_CD_locked_nm,P_line_margin,area_frac,contrast,psd_locked_mid,status
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,3,0.01,16.883083378334913,12.66594451824265,2.5222389199856594,0.10734291198143786,0.7034375,0.39541043487353217,0.6084848779858364,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,0,0.02,13.018339635238231,12.500378145255844,2.52392313387989,0.09877736674808146,0.54296875,0.591190710819826,1.8382643902982647,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,1,0.02,13.698084518565286,12.312849281680691,2.497682917351274,0.10066514243635871,0.5711805555555556,0.5630492419933335,1.5210956306304824,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,2,0.02,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,3,0.02,15.656431506862635,12.4780809600535,2.506158977307397,0.08362461214882011,0.65234375,0.4058606187607684,0.6202658495610274,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,0,0.03,12.432443026106048,12.493553090719338,2.5267193785234703,0.07521667773057039,0.5181423611111111,0.5896610804948039,1.8913358754642324,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,1,0.03,13.028414637284047,12.386027101368674,2.4990423180387884,0.07706582412945351,0.5432638888888889,0.5642019261255015,1.5648218196007697,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,2,0.03,13.683177865663911,12.43929893456197,2.468948777356901,0.07146083068959452,0.5704340277777777,0.5042674293629819,1.0605284844699874,robust_valid
pair:electron_blur_sigma_nm×Q0_mol_dm3,electron_blur_sigma_nm,Q0_mol_dm3,3,0.03,14.521517123079914,12.349193167782257,2.4933318578430628,0.058717745068205485,0.6055729166666667,0.41308405368811607,0.6329260750787833,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,16,12.229590527666206,13.229770595278277,3.675256745797179,-0.06853695501815649,0.7763802083333333,0.11252804737235778,8.443187667167393,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,16,15.053602715230635,13.256614946316159,3.6815812177989296,0.02128117153176956,0.9676041666666667,0.11148942804993833,8.609995438464674,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,16,15.5,13.246833820430126,3.7322024155717815,0.1097993661495108,1.0,0.10051355186272071,8.769555337396275,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,16,15.5,13.369508588285493,3.653937318135815,0.1318495549009664,1.0,0.09566062709219769,8.520506107448039,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,16,15.5,13.0234523000638,3.969436764971758,0.1849153196673342,1.0,0.07901354320036658,9.459025447032667,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,60,16,15.5,13.234379237255709,3.812456961282142,0.18751282797669666,1.0,0.07797267735054525,9.172597760620729,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,18,9.77014944283903,12.679942362182453,4.0193834775712185,-0.07722757978278183,0.5436342592592592,0.19581094044917557,4.046303531386358,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,18,14.599906622691886,12.523100334739429,4.074789527082055,0.012481308321003581,0.820324074074074,0.2020726002288153,4.073108708418264,valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,18,16.99246129340674,12.38049733867374,4.156817450932953,0.10154681240196939,0.9666203703703704,0.19310478110095985,4.192266470342104,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,18,17.232514702655614,12.4545369916277,4.18011241436785,0.12386637142926604,0.9818055555555556,0.18739110413635973,4.309441596072224,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,18,17.497229396811054,12.435980078992005,4.280865530763792,0.17787563126996053,0.9996990740740741,0.16477195756025387,4.6367787203680555,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,60,18,17.499582364186004,12.681017750137709,4.288894454699443,0.18053236635657754,0.9999074074074074,0.1632415938926166,4.9914933386594145,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,20,8.60736671262309,12.56280858031333,3.1315866199202045,-0.08103970382346581,0.4311875,0.2807712029933283,1.491579807397283,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,20,12.80131588198457,12.39604786718799,3.1382326136006236,0.00848992562553863,0.6399166666666667,0.299661230344708,1.4799854725120967,valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,20,16.56252342579544,12.565216575919065,3.2509107510364403,0.09760635474518609,0.8357083333333334,0.30084814437349927,1.5884837496197692,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,20,17.38183480176939,12.638923723222629,3.3046734730657095,0.11998466483782733,0.8791458333333333,0.29688151568917853,1.7296663819140767,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,20,18.856771282130143,12.4688848285015,3.358859714539725,0.17423352212439747,0.9620625,0.2756945876240594,1.785092764436729,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,60,20,18.903250715338313,12.661552608428376,3.421899277752709,0.1769061088649475,0.9644791666666667,0.2740792380029341,1.900590037021701,merged
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,24,8.090904118228268,12.385841746873705,2.466694733556305,-0.08296880287065567,0.3375520833333333,0.41813084286762714,1.0537974228775757,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,24,11.743171157995759,12.353616596459904,2.467998603582617,0.006430508565422377,0.48918402777777775,0.4661344108513712,1.043923986632937,valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,24,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,24,15.219310883200137,12.60343697641633,2.477080194318891,0.1178943183308565,0.6340277777777777,0.504275036153305,1.0349040332647619,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,24,17.07866453135271,12.558978599355179,2.482741078037786,0.17219205669823923,0.7108680555555555,0.5044489770055689,1.0261517237506474,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,60,24,17.183866479893073,12.682301228261867,2.4860250101872694,0.1748680644604298,0.7153993055555555,0.5038771485458119,1.0289265895703728,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,28,8.025770099246703,12.246200719316164,2.38453573915215,-0.08315574605922882,0.2867857142857143,0.49883142007549064,1.004561875556227,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,28,11.614127294756923,12.632626911916255,2.3796824076032452,0.006229293645868883,0.41502976190476193,0.5681222884790232,0.9938492441367615,valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,28,14.267750470684131,12.654427277098202,2.375938569313006,0.0953004411226519,0.5096130952380953,0.6291343332911009,0.981058115796103,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,28,14.903460584030128,12.431169069417363,2.3753216658432708,0.11768585074229254,0.5324702380952381,0.6422839718232864,0.9744009794708525,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,28,16.51674119003864,12.370623899235968,2.3713021729215127,0.1719842058970772,0.5900892857142858,0.6673795278239737,0.9600265511196465,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,60,28,16.6020750174049,12.488060347314223,2.370918119216488,0.17466026755343766,0.5930505952380952,0.6682513642175123,0.960842535677525,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,21,32,8.019408340334698,12.230157793714428,2.3741188943710254,-0.08316796556172334,0.25072916666666667,0.538627248913894,0.9980384389519795,under_exposed
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,28.4,32,11.599610952595006,12.613915823300733,2.3675912608702387,0.006216114116239235,0.36266927083333333,0.6194299350177025,0.9863672936206628,valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,40,32,14.236406738625206,12.633984569523088,2.362743137055387,0.09528675141719722,0.44485677083333336,0.6962773894679016,0.9729762988713023,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,44.2,32,14.86503174729609,12.411226053189061,2.3624326580459463,0.11767210585746346,0.4648307291666667,0.7145719542723397,0.9664827302660189,robust_valid
pair:dose_mJ_cm2×pitch_nm,dose_mJ_cm2,pitch_nm,59,32,16.450138650262364,12.348802827812586,2.357244431466008,0.17197040187729984,0.5142708333333333,0.7556919095349953,0.9515873477714407,robust_valid
